,da_dacy_large_ner_fine_grained,da_dacy_medium_ner_fine_grained,da_dacy_small_ner_fine_grained
across_domains,0.8232189973614776,0.8055281342546889,0.7756474941136898
conversation,0.7963800904977376,0.717741935483871,0.8198198198198199
dannet,0.75,0.6666666666666665,1.0
legal,0.8521739130434783,0.853868194842407,0.8662790697674418
news,0.8409090909090908,0.7586206896551724,0.8604651162790697
social_media,0.793103448275862,0.847457627118644,0.8000000000000002
web,0.8258706467661692,0.8024439918533605,0.7561728395061728
wiki_and_books,0.7781818181818181,0.8378378378378378,0.7092198581560285
