,da_dacy_large_ner_fine_grained,da_dacy_medium_ner_fine_grained,da_dacy_small_ner_fine_grained,da_dacy_large_trf,da_dacy_medium_trf,da_dacy_small_trf,da_core_news_lg,da_core_news_md,da_core_news_sm,da_dacy_small_trf
across_domains,0.8716875871687587,0.8492224475997295,0.7978290366350068,0.6804123711340205,0.625531914893617,0.5144644253322909,0.4851258581235698,0.4922623434045689,0.31938633193863325,0.5144644253322909
conversation,0.810126582278481,0.8470588235294119,0.8192771084337348,0.7397260273972601,0.7058823529411765,0.676470588235294,0.717948717948718,0.7272727272727272,0.6857142857142857,0.676470588235294
dannet,0.5,0.5,1.0,1.0,0.8,0.8,1.0,0.8,0.8,0.8
legal,0.894736842105263,0.90625,0.875,0.6982248520710058,0.7608695652173914,0.6122448979591837,0.5605095541401275,0.5780346820809248,0.44155844155844154,0.6122448979591837
news,0.9361702127659574,0.8333333333333333,0.8333333333333333,0.851063829787234,0.68,0.6666666666666666,0.6086956521739131,0.6086956521739131,0.6382978723404256,0.6666666666666666
social_media,0.7368421052631577,0.7368421052631577,0.5555555555555556,0.7368421052631577,0.7777777777777778,0.35294117647058826,0.631578947368421,0.7368421052631577,0.4545454545454546,0.35294117647058826
web,0.8749999999999999,0.8345035105315948,0.7818181818181817,0.6488888888888888,0.5732349841938884,0.4611590628853267,0.43742690058479533,0.44596131968145614,0.25369978858350956,0.4611590628853267
wiki_and_books,0.8256880733944955,0.888888888888889,0.7610619469026548,0.7333333333333334,0.7207207207207207,0.6194690265486726,0.5185185185185185,0.49645390070921985,0.3157894736842105,0.6194690265486726
